报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),1959279,1818016,1785891,1628377,1580489,1490799,1421430,1288827,1438617,1273617,1145723,1009812,1114651,959477,779783,628245,651412,591934,302739,246159,172655,249717,250012,242083,255514,318276,198545,175563,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
交易性金融资产(万元),--,--,--,--,10000,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,0,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
应收票据(万元),1563467,1300773,1225074,1100408,1114613,767812,685397,793939,878462,877683,722599,706055,595436,525380,546381,350503,308962,201933,253108,251222,280383,183854,244097,167534,178190,67814,127852,136571,
应收账款(万元),623631,481381,491085,419672,397070,373133,348219,308183,321125,336413,241331,214152,263762,255866,253895,120465,107159,101835,99334,79457,106377,137819,155915,57890,140485,164048,137328,174638,
预付款项(万元),118793,153872,100437,71901,102935,125062,118727,107523,140769,104688,40945,55573,26621,167349,24935,9729,10174,6713,15702,16861,19867,10968,20352,9425,20857,9350,5913,6736,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
应收利息(万元),8249,7016,6183,5912,5012,8911,8860,7252,4950,3710,3342,4362,203,248,--,0,--,0,0,0,0,--,--,--,--,0,--,0,
应收股利(万元),1173,--,--,0,--,490,327,327,331,331,1256,1267,--,0,--,0,--,0,0,0,0,--,--,--,--,3,4,0,
其他应收款(万元),122028,65724,48590,26741,8404,14080,17577,25647,10851,22433,17616,10189,8173,12150,4031,6309,2493,6475,7040,7344,16909,13238,11194,9286,12079,15415,13715,8801,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
存货(万元),522362,541111,714066,709865,529530,470093,560203,596911,421502,419452,413065,355707,301778,253608,225233,174254,156287,184688,216624,185292,230486,355106,416941,292867,210097,195144,154347,168979,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,0,--,0,
其他流动资产(万元),2561,4137,7044,7093,1991,443,5836,4791,--,--,--,--,--,0,--,0,--,0,0,0,1,1,131,1,3,0,--,4,
流动资产合计(万元),4921543,4372028,4378371,3969969,3750044,3250824,3166576,3133400,3216606,3038326,2585877,2357116,2310625,2174077,1834259,1289506,1236487,1093578,894547,786333,826678,950704,1098642,779086,817226,770049,637704,671293,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
可供出售金融资产(万元),924,877,967,1002,891,937,962,930,1512,1650,1361,1356,809,804,975,1089,957,1030,674,549,694,859,1290,2038,--,0,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,0,--,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,0,--,0,
长期股权投资(万元),257145,244812,235104,220182,211598,196904,182584,170089,158373,129407,116701,107832,105098,100216,89875,152726,151970,146899,142338,138356,138958,67729,62368,60049,52353,51371,27767,53225,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
投资性房地产(万元),2687,5155,5319,5430,5656,5657,6261,6495,2941,2976,2053,2080,1745,1773,1815,0,--,0,0,0,0,--,--,--,--,0,--,0,
固定资产原值(万元),--,1038766,--,1016813,--,943705,--,896782,--,822535,--,662790,--,612488,--,484666,--,474120,--,458092,--,439010,--,422870,--,414484,--,400985,
累计折旧(万元),--,506401,--,486745,--,461138,--,441881,--,417461,--,344296,--,316679,--,238453,--,225087,--,211235,--,200053,--,185431,--,174997,--,161702,
固定资产净值(万元),--,532365,--,530068,--,482568,--,454901,--,405074,--,318494,--,295809,--,246213,--,249033,--,246857,--,238957,--,237439,--,239487,--,239283,
固定资产减值准备(万元),--,1858,--,1791,--,1241,--,1241,--,1265,--,1265,--,1265,--,1265,--,1265,--,1265,--,1535,--,1535,--,1535,--,1535,
固定资产(万元),543186,530507,508751,528277,501634,481327,466772,453660,408405,403809,323212,317229,292372,294544,296854,244948,243712,247768,241183,245592,240403,237422,230794,235904,234356,237952,176618,237748,
在建工程(万元),150600,122166,111656,106382,93653,98022,89142,94467,94241,85361,64417,64472,48580,35057,37923,26191,26422,18918,20606,20402,18393,19714,26256,18916,11173,8460,14266,11807,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,0,--,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,104,0,0,-574,--,--,-205,0,-18,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,0,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,0,--,0,
