报告日期,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2005-12-31,
货币资金(万元),4436541,3706356,3760363,5225869,5229154,3330740,4701219,3905442,3423951,3389945,4077947,3718932,3781693,3154346,1911131,1791762,2300192,2761462,2688042,2692192,1997829,1994242,1536985,1562609,1704650,2238796,1208594,922375,1074370,324903,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,74,--,0,--,--,--,0,--,0,0,402,160,230,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
应收账款(万元),307897,143247,174830,181870,188655,135249,114048,125417,151481,99508,104489,110285,159402,19254,33629,40678,71319,50152,100108,103714,92277,77767,103220,86522,86488,31751,44627,29983,36461,37731,
预付款项(万元),2865367,3186745,2960195,3337150,3337361,2408809,2262634,2396146,2011622,2148448,1922748,1930159,1783800,1084364,976045,933321,873632,473385,285805,321819,316052,536469,582528,994305,828420,450220,290459,175696,231384,70413,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
其他应收款(万元),3481532,3244225,3307164,2388469,2005792,2626339,1910224,1771990,1844061,2251070,1735255,1620049,1493831,1383020,1182224,971767,778581,419054,390343,367143,349610,369149,299712,306379,276406,257278,165199,167633,67101,70497,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
存货(万元),33113322,33883405,31114351,28976572,25516411,24670845,22636086,21470109,20833549,19293643,17136641,15085240,13333346,12319576,11153122,10351166,9008529,8675223,8416580,8425540,8589870,8737557,8115987,7239828,6647288,6289049,4333300,3468189,3416711,1628694,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
流动资产合计(万元),44204659,44163978,41316903,40109931,36277374,33171982,31624211,29669105,28264665,27182613,24977080,22464664,20552073,17960559,15256152,14088694,13032328,12379277,11880878,11910408,11345637,11715185,10638432,10189643,9543252,9267094,6042581,4764036,4826257,2132239,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
可供出售金融资产(万元),246619,19409,536,476,476,476,476,44126,44126,40476,40476,40476,40476,476,2489,17331,16363,12998,14495,12297,16742,38330,40000,45715,48884,19640,14628,13328,8174,3081,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,31880,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
长期股权投资(万元),1063749,924262,904775,720853,704031,688424,688404,656276,642649,509100,510476,494405,449375,464196,430787,373198,356538,248553,252642,240015,248573,176816,219524,180079,243861,108093,209914,107740,81993,126393,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
投资性房地产(万元),1171048,273078,248598,247190,237523,224973,122534,118560,112611,18832,19056,12694,12918,14428,12438,12561,22814,22960,16837,16909,19839,16749,13782,28098,27709,32236,35082,36489,945,1015,
固定资产原值(万元),282992,--,229041,--,221704,--,214344,--,212119,--,172403,0,167441,--,175805,0,174412,--,154525,--,162200,--,97112,--,88380,--,74630,0,73721,38845,
累计折旧(万元),70015,--,64943,--,60478,--,57698,--,52533,--,49399,0,45483,--,42160,0,38814,--,37948,--,35667,--,33061,--,30860,--,25375,0,23714,17174,
固定资产净值(万元),212977,--,164098,--,161226,--,156646,--,159586,--,123003,0,121958,--,133645,0,135598,--,116577,--,126533,--,64051,--,57521,--,49255,0,50006,21670,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,0,--,0,--,0,--,0,0,0,0,
固定资产(万元),212977,163710,164098,157841,161226,156742,156646,157906,159586,124983,123003,121049,121958,132638,133645,134358,135598,115076,116577,123188,126533,64357,64051,58296,57521,54611,49255,50504,50006,21670,
在建工程(万元),91367,131160,122268,114956,105112,102470,92533,85224,70555,92788,89826,80351,76428,74856,72043,65630,59321,10530,23661,23564,18859,29457,39960,30497,27127,4704,2309,0,327,1970,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
无形资产(万元),43007,41917,42183,42577,42685,49692,46317,43440,43547,32989,33095,32997,37395,8072,8114,8158,8197,8238,0,--,--,--,0,--,0,--,0,0,0,0,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
商誉(万元),20169,20169,20169,20169,20169,20169,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
长期待摊费用(万元),6351,6578,6930,1208,4232,4414,4588,3997,4100,3808,3906,3512,3216,3718,3170,2864,3132,2181,2224,2234,2527,2882,1995,1385,687,652,555,522,928,127,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
递延所得税资产(万元),352526,369078,349182,332254,305486,334177,276740,263576,232624,209392,193511,180135,164316,134587,132428,136803,126565,150439,144678,154775,144948,102753,92382,72312,60406,15704,12710,13358,23353,4965,
其他非流动资产(万元),508062,440,48554,41969,21849,23940,27670,1440,46379,105599,105599,105599,105599,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
